,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DISPLAY_FIRST_LAST,DRAFT_YEAR,DRAFT_NUMBER
2226,1628370,2023-24,00,1610612758,SAC,26.0,72,0,1872.0,396,893,0.443,148,423,0.35,170,205,0.829,28,184,212,370,45,39,150,156,1110,Malik Monk,2017,11
2229,1630541,2023-24,00,1610612744,GSW,22.0,66,9,1156.0,194,420,0.462,72,200,0.36,73,93,0.785,65,131,196,57,42,24,44,90,533,Moses Moody,2021,14
2231,1631111,2023-24,00,1610612750,MIN,22.0,25,0,75.0,9,18,0.5,0,6,0.0,0,0,0.0,0,12,12,6,5,1,4,5,18,Wendell Moore Jr.,2022,26
2236,1629630,2023-24,00,1610612763,MEM,24.0,9,9,318.0,80,170,0.471,14,51,0.275,52,64,0.813,6,44,50,73,7,5,27,19,226,Ja Morant,2019,2
2257,202693,2023-24,00,1610612742,DAL,34.0,26,1,216.0,23,68,0.338,15,42,0.357,5,6,0.833,4,35,39,16,5,3,12,12,66,Markieff Morris,2011,13
2264,1628420,2023-24,00,1610612765,DET,28.0,6,0,68.0,12,33,0.364,2,11,0.182,1,2,0.5,2,10,12,8,1,1,2,1,27,Monte Morris,2017,51
2265,1628420,2023-24,00,1610612750,MIN,28.0,27,0,408.0,50,120,0.417,25,59,0.424,12,17,0.706,5,40,45,61,18,8,5,13,137,Monte Morris,2017,51
2283,202694,2023-24,00,1610612755,PHI,34.0,37,7,637.0,90,205,0.439,36,90,0.4,31,36,0.861,18,91,109,26,13,11,19,61,247,Marcus Morris Sr.,2011,14
2284,202694,2023-24,00,1610612739,CLE,34.0,12,0,180.0,26,59,0.441,12,29,0.414,5,8,0.625,5,20,25,10,2,2,11,13,69,Marcus Morris Sr.,2011,14
2288,1630530,2023-24,00,1610612740,NOP,23.0,57,23,1690.0,275,621,0.443,169,445,0.38,123,151,0.815,42,238,280,124,51,28,34,70,842,Trey Murphy III,2021,17
2295,1627749,2023-24,00,1610612737,ATL,27.0,78,78,2783.0,672,1463,0.459,201,554,0.363,208,262,0.794,62,354,416,502,111,24,201,138,1753,Dejounte Murray,2016,29
2302,1627750,2023-24,00,1610612743,DEN,27.0,59,59,1861.0,474,986,0.481,145,341,0.425,157,184,0.853,42,200,242,384,57,39,125,104,1250,Jamal Murray,2016,7
2304,1631099,2023-24,00,1610612758,SAC,23.0,77,77,2589.0,443,975,0.454,183,511,0.358,103,124,0.831,106,314,420,129,79,59,64,205,1172,Keegan Murray,2022,4
2305,1631200,2023-24,00,1610612757,POR,23.0,62,29,1348.0,145,366,0.396,49,183,0.268,37,56,0.661,85,139,224,80,53,21,55,92,376,Kris Murray,2023,23
2320,203488,2023-24,00,1610612764,WAS,32.0,24,2,338.0,33,90,0.367,14,51,0.275,15,20,0.75,22,53,75,22,5,7,16,31,95,Mike Muscala,2013,44
2321,203488,2023-24,00,1610612765,DET,32.0,13,4,171.0,15,44,0.341,13,34,0.382,2,4,0.5,10,19,29,10,3,5,2,13,45,Mike Muscala,2013,44
2322,203488,2023-24,00,1610612760,OKC,32.0,16,0,91.0,8,22,0.364,1,11,0.091,0,1,0.0,7,14,21,4,1,1,4,8,17,Mike Muscala,2013,44
2335,1629004,2023-24,00,1610612738,BOS,26.0,41,2,413.0,57,137,0.416,42,108,0.389,6,9,0.667,11,40,51,35,11,1,12,19,162,Svi Mykhailiuk,2018,47
2348,1626204,2023-24,00,1610612740,NOP,31.0,61,0,1216.0,138,241,0.573,27,65,0.415,47,61,0.77,94,213,307,113,61,19,49,98,350,Larry Nance Jr.,2015,27
2350,1629614,2023-24,00,1610612754,IND,24.0,68,47,1697.0,260,522,0.498,61,171,0.357,45,56,0.804,36,105,141,280,63,6,101,143,626,Andrew Nembhard,2022,31
2354,1630174,2023-24,00,1610612754,IND,24.0,72,47,1995.0,315,635,0.496,140,334,0.419,107,137,0.781,63,212,275,108,65,49,64,241,877,Aaron Nesmith,2020,14
2362,1627777,2023-24,00,1610612739,CLE,30.0,82,10,1831.0,284,632,0.449,149,396,0.376,51,60,0.85,22,256,278,98,30,18,72,192,768,Georges Niang,2016,50
2365,1630227,2023-24,00,1610612750,MIN,22.0,15,0,50.0,9,24,0.375,6,17,0.353,3,6,0.5,1,2,3,6,5,0,5,2,27,Daishen Nix,Undrafted,Undrafted
2369,1630192,2023-24,00,1610612743,DEN,23.0,58,0,576.0,69,149,0.463,6,23,0.261,42,62,0.677,61,65,126,32,15,38,27,81,186,Zeke Nnaji,2020,22
2370,1641806,2023-24,00,1610612761,TOR,24.0,1,0,4.0,0,1,0.0,0,0,0.0,2,2,1.0,2,0,2,2,1,0,0,0,2,Markquis Nowell,Undrafted,Undrafted
2377,1628373,2023-24,00,1610612766,CHA,25.0,5,0,43.0,1,9,0.111,1,8,0.125,2,2,1.0,1,5,6,4,0,0,1,4,5,Frank Ntilikina,2017,8
2389,203994,2023-24,00,1610612756,PHX,29.0,76,76,2078.0,320,627,0.51,22,90,0.244,167,261,0.64,224,613,837,301,81,80,175,254,829,Jusuf Nurkic,2014,16
2395,1629670,2023-24,00,1610612754,IND,25.0,18,0,183.0,37,82,0.451,11,36,0.306,9,11,0.818,8,25,33,18,6,1,12,19,94,Jordan Nwora,2020,45
2396,1629670,2023-24,00,1610612761,TOR,25.0,34,1,529.0,101,217,0.465,33,95,0.347,35,42,0.833,20,96,116,44,20,12,41,29,270,Jordan Nwora,2020,45
2404,1626220,2023-24,00,1610612751,BKN,30.0,49,6,1202.0,126,325,0.388,97,265,0.366,15,22,0.682,38,183,221,137,32,29,51,120,364,Royce O'Neale,Undrafted,Undrafted
2405,1626220,2023-24,00,1610612756,PHX,30.0,30,8,752.0,88,214,0.411,59,157,0.376,9,13,0.692,22,134,156,82,27,15,22,54,244,Royce O'Neale,Undrafted,Undrafted
2410,1629643,2023-24,00,1610612753,ORL,25.0,47,8,432.0,40,112,0.357,23,82,0.28,4,7,0.571,18,62,80,20,9,7,16,19,107,Chuma Okeke,2019,16
2416,1629006,2023-24,00,1610612756,PHX,25.0,60,11,960.0,86,206,0.417,29,94,0.309,76,102,0.745,74,80,154,64,48,24,36,68,277,Josh Okogie,2018,20
2420,1630168,2023-24,00,1610612737,ATL,23.0,55,8,1405.0,223,365,0.611,23,69,0.333,92,116,0.793,145,231,376,74,26,60,45,162,561,Onyeka Okongwu,2020,6
2424,1630171,2023-24,00,1610612739,CLE,23.0,69,42,1887.0,235,480,0.49,84,215,0.391,93,137,0.679,67,139,206,132,57,34,54,140,647,Isaac Okoro,2020,5
2450,203482,2023-24,00,1610612762,UTA,33.0,50,8,1019.0,145,258,0.562,36,84,0.429,80,95,0.842,63,191,254,219,37,12,81,132,406,Kelly Olynyk,2013,13
2451,203482,2023-24,00,1610612761,TOR,33.0,28,19,739.0,131,239,0.548,24,71,0.338,70,85,0.824,45,112,157,128,37,18,71,98,356,Kelly Olynyk,2013,13
2457,1630647,2023-24,00,1610612764,WAS,27.0,43,0,393.0,81,167,0.485,13,46,0.283,32,49,0.653,35,50,85,35,27,5,21,62,207,Eugene Omoruyi,Undrafted,Undrafted
2464,1626224,2023-24,00,1610612759,SAS,29.0,72,3,1269.0,184,384,0.479,86,221,0.389,35,52,0.673,25,155,180,119,36,11,47,107,489,Cedi Osman,2015,31
2475,1626162,2023-24,00,1610612755,PHI,28.0,68,52,2055.0,387,878,0.441,101,325,0.311,174,232,0.75,94,247,341,101,77,47,87,194,1049,Kelly Oubre Jr.,2015,15
2494,101108,2023-24,00,1610612744,GSW,39.0,58,18,1531.0,206,467,0.441,78,210,0.371,43,52,0.827,18,207,225,393,70,6,76,108,533,Chris Paul,2005,4
2507,1626166,2023-24,00,1610612749,MIL,29.0,47,2,702.0,101,222,0.455,52,131,0.397,37,44,0.841,5,57,62,109,22,3,31,73,291,Cameron Payne,2015,14
2508,1626166,2023-24,00,1610612755,PHI,29.0,31,8,602.0,107,259,0.413,52,136,0.382,21,23,0.913,16,39,55,96,20,8,35,53,287,Cameron Payne,2015,14
2521,1627780,2023-24,00,1610612744,GSW,31.0,44,0,680.0,103,183,0.563,20,55,0.364,14,23,0.609,46,67,113,48,39,18,27,77,240,Gary Payton II,Undrafted,Undrafted
2522,1630196,2023-24,00,1610612755,PHI,24.0,1,0,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,Filip Petrusev,2021,50
2523,1630196,2023-24,00,1610612758,SAC,24.0,2,0,7.0,1,2,0.5,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,1,3,Filip Petrusev,2021,50
2525,1641763,2023-24,00,1610612741,CHI,20.0,40,0,323.0,32,77,0.416,12,38,0.316,13,19,0.684,12,24,36,13,7,7,10,40,89,Julian Phillips,2023,35
2526,1629618,2023-24,00,1610612743,DEN,24.0,27,0,122.0,15,35,0.429,9,25,0.36,3,4,0.75,1,13,14,21,4,0,9,13,42,Jalen Pickett,2023,32
2541,203486,2023-24,00,1610612746,LAC,34.0,46,11,674.0,87,153,0.569,0,6,0.0,70,99,0.707,60,174,234,55,14,17,36,68,244,Mason Plumlee,2013,22
2542,1641764,2023-24,00,1610612744,GSW,21.0,74,28,1968.0,271,597,0.454,90,234,0.385,50,79,0.633,118,309,427,273,61,14,88,122,682,Brandin Podziemski,2023,19
2552,1627751,2023-24,00,1610612761,TOR,28.0,50,50,1319.0,248,378,0.656,0,0,0.0,59,107,0.551,146,283,429,127,35,76,77,149,555,Jakob Poeltl,2016,9
2556,1630197,2023-24,00,1610612760,OKC,22.0,10,0,60.0,4,16,0.25,2,11,0.182,2,4,0.5,2,8,10,5,1,1,3,5,12,Aleksej Pokusevski,2020,17
2557,1630197,2023-24,00,1610612766,CHA,22.0,18,0,345.0,45,105,0.429,16,44,0.364,28,37,0.757,15,64,79,30,14,12,16,17,134,Aleksej Pokusevski,2020,17
2563,1629673,2023-24,00,1610612764,WAS,24.0,78,66,2346.0,490,1186,0.413,184,564,0.326,192,219,0.877,32,180,212,343,86,25,188,244,1356,Jordan Poole,2019,28
2564,1641854,2023-24,00,1610612739,CLE,24.0,51,6,649.0,116,228,0.509,12,34,0.353,41,56,0.732,21,88,109,118,21,15,45,40,285,Craig Porter Jr.,Undrafted,Undrafted
2569,1629008,2023-24,00,1610612743,DEN,25.0,81,81,2565.0,522,1079,0.484,220,554,0.397,92,110,0.836,106,459,565,122,42,53,92,148,1356,Michael Porter Jr.,2018,14
2584,203490,2023-24,00,1610612761,TOR,30.0,15,1,174.0,14,33,0.424,8,23,0.348,3,3,1.0,6,23,29,8,5,5,2,19,39,Otto Porter Jr.,2013,3
2595,1626171,2023-24,00,1610612749,MIL,29.0,82,4,2008.0,466,918,0.508,100,246,0.407,98,124,0.79,142,465,607,104,68,34,91,189,1130,Bobby Portis,2015,22
2605,204001,2023-24,00,1610612738,BOS,28.0,57,57,1690.0,388,752,0.516,110,293,0.375,259,302,0.858,97,312,409,115,42,111,89,156,1145,Kristaps Porzingis,2015,4
2608,1630695,2023-24,00,1610612762,UTA,26.0,16,0,186.0,19,40,0.475,9,21,0.429,6,8,0.75,10,33,43,6,4,6,5,14,53,Micah Potter,Undrafted,Undrafted
2620,203939,2023-24,00,1610612742,DAL,32.0,63,9,836.0,72,106,0.679,1,3,0.333,63,89,0.708,97,117,214,84,26,20,32,113,208,Dwight Powell,2014,45
2633,1626181,2023-24,00,1610612746,LAC,31.0,76,3,1990.0,373,768,0.486,167,384,0.435,143,172,0.831,16,179,195,82,43,22,66,137,1056,Norman Powell,2015,46
2636,1630563,2023-24,00,1610612746,LAC,21.0,2,0,10.0,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,0,0,1,4,0,2,Joshua Primo,2021,12
2646,1627752,2023-24,00,1610612747,LAL,30.0,78,49,2108.0,253,572,0.442,141,356,0.396,50,68,0.735,21,209,230,119,58,35,73,146,697,Taurean Prince,2016,12
2650,1630202,2023-24,00,1610612738,BOS,26.0,82,5,1826.0,297,635,0.468,147,382,0.385,46,56,0.821,70,195,265,281,39,6,61,106,787,Payton Pritchard,2020,26
2651,1641765,2023-24,00,1610612742,DAL,21.0,40,1,336.0,40,104,0.385,13,45,0.289,28,41,0.683,25,54,79,22,7,4,8,20,121,Olivier-Maxence Prosper,2023,24
2654,1630243,2023-24,00,1610612753,ORL,27.0,14,0,165.0,14,38,0.368,3,17,0.176,9,12,0.75,3,17,20,18,7,5,7,15,40,Trevelin Queen,Undrafted,Undrafted
2657,1629674,2023-24,00,1610612738,BOS,24.0,28,0,333.0,67,104,0.644,0,0,0.0,20,28,0.714,53,69,122,20,13,21,13,50,154,Neemias Queta,2021,39
2661,1630193,2023-24,00,1610612752,NYK,24.0,30,0,720.0,152,335,0.454,64,162,0.395,82,94,0.872,5,72,77,74,16,3,31,44,450,Immanuel Quickley,2020,25
2662,1630193,2023-24,00,1610612761,TOR,24.0,38,38,1265.0,236,559,0.422,107,271,0.395,127,151,0.841,12,170,182,257,34,7,70,75,706,Immanuel Quickley,2020,25
2665,1631311,2023-24,00,1610612744,GSW,23.0,37,0,394.0,56,141,0.397,32,88,0.364,20,29,0.69,21,51,72,36,6,2,17,44,164,Lester Quinones,Undrafted,Undrafted
2675,203944,2023-24,00,1610612752,NYK,29.0,46,46,1630.0,395,836,0.472,76,244,0.311,236,302,0.781,99,324,423,229,25,12,159,125,1102,Julius Randle,2014,7
2676,1641871,2023-24,00,1610612757,POR,27.0,68,20,1214.0,230,499,0.461,88,245,0.359,69,93,0.742,93,157,250,67,33,38,52,161,617,Duop Reath,Undrafted,Undrafted
2679,1630559,2023-24,00,1610612747,LAL,26.0,82,57,2629.0,457,940,0.486,154,420,0.367,232,272,0.853,57,295,352,450,66,25,174,153,1300,Austin Reaves,Undrafted,Undrafted
2688,1629629,2023-24,00,1610612747,LAL,24.0,48,26,984.0,91,234,0.389,37,110,0.336,41,54,0.759,27,72,99,48,47,14,31,64,260,Cam Reddish,2019,10
2692,1630194,2023-24,00,1610612755,PHI,24.0,82,24,1589.0,259,480,0.54,21,57,0.368,61,85,0.718,193,295,488,109,67,84,67,198,600,Paul Reed,2020,58
2697,1629675,2023-24,00,1610612750,MIN,24.0,81,14,1964.0,406,851,0.477,169,408,0.414,109,148,0.736,73,350,423,106,63,73,111,172,1090,Naz Reid,Undrafted,Undrafted
2699,1631197,2023-24,00,1610612765,DET,24.0,17,0,245.0,33,66,0.5,12,31,0.387,5,8,0.625,3,30,33,14,3,13,7,28,83,Jared Rhoden,Undrafted,Undrafted
2703,1630208,2023-24,00,1610612766,CHA,26.0,67,51,1759.0,260,376,0.691,0,1,0.0,132,179,0.737,172,367,539,54,26,74,73,176,652,Nick Richards,2020,42
2716,1626196,2023-24,00,1610612748,MIA,30.0,43,6,1103.0,154,347,0.444,66,190,0.347,51,54,0.944,18,103,121,105,24,14,36,76,425,Josh Richardson,2015,40
2722,1629130,2023-24,00,1610612748,MIA,30.0,68,36,1906.0,304,675,0.45,187,473,0.395,80,90,0.889,15,158,173,192,46,16,95,163,875,Duncan Robinson,Undrafted,Undrafted
2728,1629010,2023-24,00,1610612744,GSW,27.0,22,0,81.0,11,33,0.333,2,17,0.118,7,11,0.636,1,5,6,5,1,3,2,5,31,Jerome Robinson,2018,13
2734,1629011,2023-24,00,1610612752,NYK,26.0,31,21,768.0,73,127,0.575,0,0,0.0,27,66,0.409,142,121,263,18,37,35,25,55,173,Mitchell Robinson,2018,36
2736,1631115,2023-24,00,1610612748,MIA,23.0,36,7,304.0,36,72,0.5,8,15,0.533,19,25,0.76,28,56,84,34,7,8,18,35,99,Orlando Robinson,Undrafted,Undrafted
2739,1630526,2023-24,00,1610612740,NOP,23.0,39,1,334.0,45,95,0.474,13,39,0.333,12,16,0.75,23,53,76,21,10,4,16,24,115,Jeremiah Robinson-Earl,2021,32
2741,1631223,2023-24,00,1610612763,MEM,23.0,48,13,1114.0,155,386,0.402,47,156,0.301,46,67,0.687,51,149,200,76,25,11,54,68,403,David Roddy,2022,23
2742,1631223,2023-24,00,1610612756,PHX,23.0,17,0,63.0,10,23,0.435,1,8,0.125,1,1,1.0,2,9,11,4,2,0,3,4,22,David Roddy,2022,23
2745,1631157,2023-24,00,1610612764,WAS,21.0,10,0,66.0,13,25,0.52,2,3,0.667,13,17,0.765,2,9,11,11,8,3,7,7,41,Ryan Rollins,2022,44
2746,1631157,2023-24,00,1610612749,MIL,21.0,3,0,12.0,1,2,0.5,1,1,1.0,0,0,0.0,0,2,2,3,2,0,1,1,3,Ryan Rollins,2022,44
2766,201565,2023-24,00,1610612763,MEM,35.0,24,7,399.0,76,165,0.461,15,41,0.366,24,27,0.889,7,38,45,78,8,2,31,21,191,Derrick Rose,2008,1
2775,1626179,2023-24,00,1610612766,CHA,30.0,30,30,1065.0,252,549,0.459,83,232,0.358,109,129,0.845,17,100,117,198,32,12,65,52,696,Terry Rozier,2015,16
2776,1626179,2023-24,00,1610612748,MIA,30.0,31,30,975.0,190,449,0.423,66,178,0.371,63,69,0.913,18,112,130,144,31,9,41,49,509,Terry Rozier,2015,16
2790,1641712,2023-24,00,1610612757,POR,20.0,39,12,633.0,54,161,0.335,28,78,0.359,19,25,0.76,24,68,92,62,12,3,31,56,155,Rayan Rupert,2023,43
2803,1626156,2023-24,00,1610612747,LAL,28.0,76,69,2484.0,492,1080,0.456,226,545,0.415,159,192,0.828,28,208,236,482,69,36,156,156,1369,D'Angelo Russell,2015,2
2808,1630346,2023-24,00,1610612740,NOP,27.0,28,1,390.0,49,113,0.434,41,91,0.451,13,14,0.929,6,34,40,18,6,1,19,32,152,Matt Ryan,Undrafted,Undrafted
2818,1627734,2023-24,00,1610612758,SAC,28.0,82,82,2928.0,634,1068,0.594,33,87,0.379,292,415,0.704,294,826,1120,673,74,48,272,250,1593,Domantas Sabonis,2016,11
2822,1629677,2023-24,00,1610612762,UTA,24.0,43,7,404.0,60,158,0.38,13,64,0.203,44,56,0.786,22,80,102,19,5,7,28,32,177,Luka Samanic,2019,19
2823,1631257,2023-24,00,1610612745,HOU,25.0,14,0,60.0,9,14,0.643,0,2,0.0,2,2,1.0,3,10,13,3,1,2,0,5,20,Jermaine Samuels Jr.,Undrafted,Undrafted
2824,1641766,2023-24,00,1610612741,CHI,22.0,9,0,66.0,14,27,0.519,0,0,0.0,8,12,0.667,19,17,36,0,1,0,5,5,36,Adama Sanogo,Undrafted,Undrafted
2825,1630611,2023-24,00,1610612744,GSW,21.0,23,0,192.0,28,55,0.509,10,27,0.37,16,17,0.941,17,32,49,14,4,2,7,23,82,Gui Santos,2022,55
2836,203967,2023-24,00,1610612744,GSW,30.0,64,9,1098.0,181,388,0.466,74,197,0.376,79,93,0.849,73,210,283,144,31,10,78,112,515,Dario Saric,2014,12
2839,1630846,2023-24,00,1610612760,OKC,25.0,15,0,98.0,11,19,0.579,2,6,0.333,10,15,0.667,10,26,36,2,0,7,3,18,34,Olivier Sarr,Undrafted,Undrafted
2840,1631204,2023-24,00,1610612765,DET,23.0,71,11,1351.0,219,512,0.428,90,240,0.375,58,66,0.879,11,114,125,236,44,12,90,103,586,Marcus Sasser,2023,25
2844,1629678,2023-24,00,1610612753,ORL,27.0,23,0,84.0,10,26,0.385,6,16,0.375,0,2,0.0,3,14,17,7,1,0,5,9,26,Admiral Schofield,2019,42
2857,203471,2023-24,00,1610612761,TOR,30.0,51,33,1559.0,247,559,0.442,77,220,0.35,127,149,0.852,22,118,140,313,46,8,83,105,698,Dennis Schroder,2013,17
2858,203471,2023-24,00,1610612751,BKN,30.0,29,25,927.0,156,368,0.424,61,148,0.412,51,64,0.797,17,85,102,175,17,9,70,59,424,Dennis Schroder,2013,17
2861,1631220,2023-24,00,1610612740,NOP,24.0,6,0,55.0,4,13,0.308,1,2,0.5,5,6,0.833,1,6,7,5,2,1,0,4,14,Dereon Seabron,Undrafted,Undrafted
2864,1630578,2023-24,00,1610612745,HOU,21.0,63,63,2046.0,527,982,0.537,33,111,0.297,244,352,0.693,183,406,589,312,76,46,162,211,1331,Alperen Sengun,2021,16
2865,1641729,2023-24,00,1610612762,UTA,20.0,32,11,584.0,85,218,0.39,34,115,0.296,37,41,0.902,16,86,102,55,13,6,47,43,241,Brice Sensabaugh,2023,28
2871,1629012,2023-24,00,1610612762,UTA,25.0,78,51,2075.0,506,1038,0.487,128,325,0.394,318,370,0.859,71,134,205,383,62,18,165,154,1458,Collin Sexton,2018,8
2879,1629013,2023-24,00,1610612764,WAS,27.0,46,5,727.0,118,274,0.431,53,157,0.338,38,46,0.826,16,46,62,54,25,10,30,76,327,Landry Shamet,2018,26
2882,1630549,2023-24,00,1610612751,BKN,22.0,61,1,921.0,168,294,0.571,4,15,0.267,75,123,0.61,161,228,389,85,24,44,70,131,415,Day'Ron Sharpe,2021,29
2884,1631101,2023-24,00,1610612757,POR,21.0,32,25,1059.0,176,434,0.406,60,180,0.333,98,119,0.824,42,118,160,94,28,12,72,88,510,Shaedon Sharpe,2022,7
2885,1641767,2023-24,00,1610612754,IND,22.0,57,1,814.0,90,229,0.393,49,156,0.314,23,26,0.885,15,74,89,53,33,2,15,88,252,Ben Sheppard,2023,26
2893,1627783,2023-24,00,1610612761,TOR,30.0,39,39,1354.0,325,623,0.522,46,145,0.317,169,223,0.758,54,192,246,190,32,10,83,87,865,Pascal Siakam,2016,27
2894,1627783,2023-24,00,1610612754,IND,30.0,41,41,1304.0,356,648,0.549,39,101,0.386,121,173,0.699,85,234,319,152,31,15,58,106,872,Pascal Siakam,2016,27
2901,1627732,2023-24,00,1610612751,BKN,27.0,15,12,359.0,43,74,0.581,0,0,0.0,6,15,0.4,31,88,119,86,12,9,27,36,92,Ben Simmons,2016,1
2907,1629014,2023-24,00,1610612757,POR,24.0,46,46,1582.0,360,837,0.43,156,405,0.385,163,178,0.916,22,145,167,255,23,5,126,98,1039,Anfernee Simons,2018,24
2910,1630579,2023-24,00,1610612752,NYK,25.0,45,11,585.0,38,55,0.691,0,0,0.0,16,24,0.667,56,91,147,25,8,19,16,45,92,Jericho Sims,2021,58
2911,1641771,2023-24,00,1610612758,SAC,24.0,12,0,37.0,4,6,0.667,0,2,0.0,0,0,0.0,1,6,7,2,1,1,2,8,8,Jalen Slawson,2023,54
2915,1630606,2023-24,00,1610612755,PHI,24.0,1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,Javonte Smart,Undrafted,Undrafted
2925,203935,2023-24,00,1610612763,MEM,30.0,20,20,605.0,102,237,0.43,42,134,0.313,43,56,0.768,6,47,53,86,41,5,62,53,289,Marcus Smart,2014,6
2929,1630696,2023-24,00,1610612748,MIA,26.0,9,0,131.0,15,33,0.455,7,17,0.412,2,2,1.0,6,8,14,14,9,3,5,12,39,Dru Smith,Undrafted,Undrafted
2955,202397,2023-24,00,1610612766,CHA,35.0,43,5,741.0,66,158,0.418,4,8,0.5,3,4,0.75,11,65,76,145,17,4,47,49,139,Ish Smith,Undrafted,Undrafted
2961,1630188,2023-24,00,1610612754,IND,24.0,61,14,1047.0,234,395,0.592,61,144,0.424,72,104,0.692,112,225,337,63,17,38,44,124,601,Jalen Smith,2020,10
2962,1631173,2023-24,00,1610612755,PHI,21.0,16,0,85.0,18,46,0.391,13,35,0.371,3,5,0.6,0,4,4,12,8,0,7,8,52,Terquavion Smith,Undrafted,Undrafted
2973,1628372,2023-24,00,1610612751,BKN,26.0,56,2,1059.0,147,338,0.435,32,109,0.294,43,58,0.741,50,114,164,203,68,12,68,121,369,Dennis Smith Jr.,2017,9
2975,1631095,2023-24,00,1610612745,HOU,21.0,76,76,2424.0,378,833,0.454,138,380,0.363,150,185,0.811,139,477,616,121,52,61,89,200,1044,Jabari Smith Jr.,2022,3
2976,1641733,2023-24,00,1610612766,CHA,20.0,51,0,729.0,113,289,0.391,63,146,0.432,13,15,0.867,18,54,72,59,10,7,39,55,302,Nick Smith Jr.,2023,27
2978,1631110,2023-24,00,1610612759,SAS,21.0,74,73,2193.0,340,776,0.438,70,227,0.308,111,144,0.771,137,339,476,249,62,40,140,168,861,Jeremy Sochan,2022,9
2981,1630531,2023-24,00,1610612755,PHI,21.0,32,1,377.0,46,118,0.39,8,37,0.216,28,34,0.824,25,33,58,35,25,11,26,49,128,Jaden Springer,2021,28
2982,1630531,2023-24,00,1610612738,BOS,21.0,17,1,130.0,13,30,0.433,2,11,0.182,7,8,0.875,8,12,20,9,11,4,8,17,35,Jaden Springer,2021,28
2987,1630205,2023-24,00,1610612738,BOS,26.0,19,1,122.0,21,45,0.467,3,8,0.375,8,11,0.727,12,19,31,8,6,5,9,14,53,Lamar Stevens,Undrafted,Undrafted
2988,1630205,2023-24,00,1610612763,MEM,26.0,19,2,437.0,87,195,0.446,11,38,0.289,34,43,0.791,24,72,96,20,17,17,15,31,219,Lamar Stevens,Undrafted,Undrafted
2993,1630191,2023-24,00,1610612765,DET,23.0,46,45,1423.0,186,382,0.487,67,175,0.383,64,85,0.753,74,231,305,73,17,38,66,99,503,Isaiah Stewart,2020,16
2994,1631124,2023-24,00,1610612743,DEN,22.0,50,0,545.0,82,222,0.369,41,138,0.297,22,31,0.71,5,56,61,47,17,7,23,54,227,Julian Strawther,2023,29
2999,1629622,2023-24,00,1610612739,CLE,28.0,70,70,2239.0,304,728,0.418,168,479,0.351,77,97,0.794,66,272,338,283,64,29,112,170,853,Max Strus,Undrafted,Undrafted
3002,1630591,2023-24,00,1610612753,ORL,22.0,75,75,2025.0,336,714,0.471,153,385,0.397,118,156,0.756,48,181,229,205,106,47,132,205,943,Jalen Suggs,2021,5
3004,1631306,2023-24,00,1610612748,MIA,25.0,18,0,87.0,15,38,0.395,10,30,0.333,2,2,1.0,1,6,7,5,1,1,8,4,42,Cole Swider,Undrafted,Undrafted
3008,1630256,2023-24,00,1610612745,HOU,28.0,65,9,1031.0,108,229,0.472,23,77,0.299,26,39,0.667,61,136,197,64,42,15,37,137,265,Jae'Sean Tate,Undrafted,Undrafted
3015,1628369,2023-24,00,1610612738,BOS,26.0,74,74,2645.0,672,1426,0.471,229,609,0.376,414,497,0.833,67,534,601,364,75,43,188,145,1987,Jayson Tatum,2017,3
3020,1630678,2023-24,00,1610612741,CHI,24.0,31,0,188.0,20,39,0.513,2,9,0.222,4,5,0.8,17,20,37,10,5,2,7,17,46,Terry Taylor,Undrafted,Undrafted
3042,202066,2023-24,00,1610612761,TOR,38.0,27,2,289.0,29,78,0.372,12,40,0.3,18,22,0.818,18,27,45,28,12,3,14,28,88,Garrett Temple,Undrafted,Undrafted
3044,1631207,2023-24,00,1610612741,CHI,21.0,59,2,681.0,69,157,0.439,17,74,0.23,25,43,0.581,29,84,113,81,27,18,32,81,180,Dalen Terry,2022,18
3055,1628464,2023-24,00,1610612754,IND,32.0,1,0,8.0,1,4,0.25,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,Daniel Theis,Undrafted,Undrafted
3056,1628464,2023-24,00,1610612746,LAC,32.0,59,3,1006.0,155,289,0.536,26,70,0.371,38,50,0.76,85,159,244,61,21,51,42,126,374,Daniel Theis,Undrafted,Undrafted
3060,1630560,2023-24,00,1610612751,BKN,22.0,66,51,2075.0,526,1190,0.442,144,396,0.364,286,334,0.856,28,186,214,192,45,16,124,138,1482,Cam Thomas,2021,27
3061,1641708,2023-24,00,1610612745,HOU,21.0,62,23,1389.0,239,446,0.536,8,58,0.138,106,155,0.684,148,261,409,163,78,38,90,141,592,Amen Thompson,2023,4
