,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DISPLAY_FIRST_LAST,DRAFT_YEAR,DRAFT_NUMBER
920,1630201,2023-24,00,1610612752,NYK,26.0,14,0,61.0,9,23,0.391,4,13,0.308,9,11,0.818,0,6,6,6,1,0,3,3,31,Malachi Flynn,2020,29
921,1630201,2023-24,00,1610612765,DET,26.0,24,0,342.0,71,165,0.43,24,76,0.316,26,38,0.684,8,35,43,51,19,2,27,21,192,Malachi Flynn,2020,29
924,1631323,2023-24,00,1610612762,UTA,28.0,50,34,1160.0,161,358,0.45,91,233,0.391,32,40,0.8,52,124,176,73,30,18,51,81,445,Simone Fontecchio,Undrafted,Undrafted
925,1631323,2023-24,00,1610612765,DET,28.0,16,9,484.0,91,190,0.479,43,101,0.426,22,26,0.846,12,58,70,28,14,5,17,29,247,Simone Fontecchio,Undrafted,Undrafted
927,1630259,2023-24,00,1610612758,SAC,26.0,6,0,22.0,4,7,0.571,2,3,0.667,2,2,1.0,0,2,2,2,0,0,1,0,12,Jordan Ford,Undrafted,Undrafted
931,1630235,2023-24,00,1610612737,ATL,25.0,38,0,414.0,34,90,0.378,2,10,0.2,13,17,0.765,11,40,51,92,11,3,20,25,83,Trent Forrest,Undrafted,Undrafted
945,203095,2023-24,00,1610612752,NYK,31.0,3,0,39.0,4,20,0.2,2,15,0.133,2,2,1.0,0,4,4,3,4,0,1,4,12,Evan Fournier,2012,20
946,203095,2023-24,00,1610612765,DET,31.0,29,0,541.0,75,201,0.373,31,115,0.27,27,34,0.794,5,49,54,45,25,7,20,44,208,Evan Fournier,2012,20
954,1628368,2023-24,00,1610612758,SAC,26.0,74,74,2659.0,720,1549,0.465,214,580,0.369,312,423,0.738,67,273,340,418,150,31,194,193,1966,De'Aaron Fox,2017,5
955,1631241,2023-24,00,1610612761,TOR,24.0,22,6,403.0,55,124,0.444,10,42,0.238,33,36,0.917,16,54,70,40,10,4,25,28,153,Javon Freeman-Liberty,Undrafted,Undrafted
